year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN
2022 gmc sierra denali 3500,79950,new,8 cylinders,4wd,gas,41,black,full-size,clean,automatic,pickup,https://denver.craigslist.org/cto/d/billings-brand-new-22-gmc-3500-dually/7591855378.html,
2005 dodge magnum sxt,3500,good,6 cylinders,rwd,gas,257000,custom,mid-size,clean,automatic,hatchback,https://denver.craigslist.org/cto/d/aurora-2005-dodge-magnum-sxt/7591856524.html,
2009 gmc sierra 3500,21950,good,8 cylinders,rwd,gas,169793,white,,clean,automatic,truck,https://denver.craigslist.org/cto/d/denver-2009-gmc-3500-utility-bed/7591858341.html,
2000 Jeep Grand Cherokee Laredo,4950,excellent,6 cylinders,4wd,gas,177630,silver,mid-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/broomfield-2000-jeep-grand-cherokee/7591859543.html,
2006 Nissan titan,4600,excellent,8 cylinders,rwd,gas,190000,blue,full-size,clean,automatic,truck,https://denver.craigslist.org/cto/d/denver-2006-nissan-titan-nismo-2wd/7591860263.html,
2002 Ford,1500,,,4wd,gas,200000,,,clean,automatic,,https://denver.craigslist.org/cto/d/longmont-02-ford-mercury-mountaineer/7591862531.html,
2003 isuzu npr,8995,good,4 cylinders,,diesel,214000,white,,clean,automatic,,https://denver.craigslist.org/cto/d/cheyenne-npr-isuzu/7591862636.html,
2008 acura rdx sh-awd,10900,excellent,4 cylinders,4wd,gas,204000,grey,mid-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/broomfield-2008-acura-rdx-sh4wd/7591862902.html,
2005 ford excursion,12000,excellent,8 cylinders,rwd,diesel,213000,white,full-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/dillon-2005-ford-excursion-2wd-diesel/7591868189.html,
2008 Subaru Outback PZEV,3000,good,4 cylinders,4wd,gas,141171,silver,mid-size,clean,automatic,hatchback,https://denver.craigslist.org/cto/d/erie-2008-subaru-outback-pzev/7591869064.html,
1998 chevrolet express 2500,7950,good,8 cylinders,rwd,gas,134000,white,,clean,automatic,van,https://denver.craigslist.org/cto/d/denver-1998-chevrolet-express-2500-van/7591869623.html,1GAGG29ROW1018548
2004 Ford f-350,4000,fair,8 cylinders,4wd,gas,207700,white,full-size,clean,automatic,pickup,https://denver.craigslist.org/cto/d/brighton-2004-f350-4x4/7591869838.html,
2018 gmc denali,28500,,,,gas,77000,,,rebuilt,automatic,,https://denver.craigslist.org/cto/d/aurora-2018-gmc-sierra-denali/7591871540.html,
2005 ford explorer xlt,2000,good,6 cylinders,4wd,gas,240000,silver,full-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/aurora-2005-ford-explorer-xlt/7591872910.html,1FMZU73K85UA18677
2011 ford f150,15000,excellent,8 cylinders,4wd,gas,131020,black,,clean,automatic,truck,https://denver.craigslist.org/cto/d/arvada-2011-fx4-very-clean-and-loaded/7591878993.html,
2017 subaru impreza,3900,,,,gas,33146,,,missing,automatic,,https://denver.craigslist.org/cto/d/englewood-2017-subaru-impreza-with-miles/7591882629.html,
1985 Pontiac firebird Tran am,25000,like new,,,gas,46707,,,clean,manual,,https://denver.craigslist.org/cto/d/denver-1985-pontiac-firebird-tran-am/7591884569.html,
2001 toyota highlander limited,7500,good,6 cylinders,4wd,gas,162239,,,clean,automatic,SUV,https://denver.craigslist.org/cto/d/denver-2001-toyota-highlander-limited/7591885196.html,JTEHF21A310010975
2005 dodge ram 1500 4x4,5800,,,,gas,256000,,,clean,automatic,,https://denver.craigslist.org/cto/d/thornton-2005-dodge-ram-4x4/7591885829.html,
2005 honda accord ex,4550,,4 cylinders,,gas,145000,,,clean,automatic,,https://denver.craigslist.org/cto/d/aurora-2005-honda-accord-ex-great-on-gas/7591890265.html,
1999 jeep grand cherokee laredo,3150,good,8 cylinders,4wd,gas,185700,black,full-size,salvage,automatic,,https://denver.craigslist.org/cto/d/englewood-1999-jeep-grand-cherokee-47l/7591896944.html,
2012 chevrolet silverado 1500,12500,,,,gas,150000,,,rebuilt,automatic,,https://denver.craigslist.org/cto/d/aurora-2012-chevrolet-silverado-z71/7591902669.html,
2014 mercedes benz c250 sport,11000,,,,gas,76365,,,clean,automatic,,https://denver.craigslist.org/cto/d/boulder-2014-mercedes-benz-c250-sport/7591902858.html,
2003 Toyota tundra,5500,good,8 cylinders,4wd,gas,250000,,,clean,automatic,,https://denver.craigslist.org/cto/d/littleton-2003-toyota-tundra/7591903456.html,
1996 gmc vandura,38000,excellent,8 cylinders,rwd,diesel,175294,white,full-size,clean,automatic,other,https://denver.craigslist.org/cto/d/denver-food-truck/7591907084.html,
2001 ford f-250,3000,good,8 cylinders,rwd,gas,191883,white,full-size,clean,automatic,truck,https://denver.craigslist.org/cto/d/longmont-2001-ford-250/7591910149.html,
2020 JAGUAR F_PACE S,52000,like new,4 cylinders,,gas,24000,black,mid-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/denver-2020-jaguar/7591914978.html,
2010 2010 ford f150 xl,13750,,,,gas,97000,,,clean,automatic,,https://denver.craigslist.org/cto/d/broomfield-2010-ford-150-xl-4x4-low/7591915702.html,
2016 honda civic,14750,,,,gas,65000,,,clean,automatic,,https://denver.craigslist.org/cto/d/henderson-2016-honda-civic/7591916621.html,
2014 GMC TERRAIN,10000,good,4 cylinders,,gas,114351,white,mid-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/denver-2014-gmc-terrain/7591916842.html,
2017 Honda Pilot,24000,good,6 cylinders,4wd,gas,89000,silver,,clean,automatic,,https://denver.craigslist.org/cto/d/aurora-2017-honda-pilot/7591918867.html,5FNYF6H32HB063875
2003 subaru forester,4500,good,,4wd,gas,155100,,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-2003-subaru-forester-awd/7591919658.html,
2008 Infinite Ex35,2700,fair,6 cylinders,4wd,gas,213000,black,full-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/denver-2008-infiniti-ex35/7591921771.html,
1999 Volvo V70,4250,excellent,,,gas,140000,blue,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-1999-volvo-v70/7591928099.html,
2020 nissan leaf s,22995,like new,other,fwd,electric,12581,white,compact,clean,automatic,hatchback,https://denver.craigslist.org/cto/d/littleton-2020-nissan-leaf/7591930438.html,
2003 dodge grand caravan sxt wagon,2200,,,,gas,131000,,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-2003-dodge-caravan/7591934739.html,
2005 Nissan,2500,,,fwd,gas,205000,,,clean,automatic,,https://denver.craigslist.org/cto/d/mead-05-nissan-altima-nice-car-good/7591934857.html,
2010 lincoln navigator,4000,fair,8 cylinders,4wd,gas,221770,white,full-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/aurora-2010-lincoln-navigator/7591935028.html,
2002 acura tl,3500,fair,6 cylinders,fwd,gas,237503,silver,mid-size,clean,automatic,sedan,https://denver.craigslist.org/cto/d/denver-2002-acura-tl/7591935461.html,
2005 subaru outback,3950,,4 cylinders,4wd,gas,178000,silver,mid-size,clean,automatic,wagon,https://denver.craigslist.org/cto/d/denver-subaru-sw-outback-25-4wd/7591935833.html,
2010 toyota corolla,6500,good,4 cylinders,fwd,gas,140000,black,compact,clean,automatic,sedan,https://denver.craigslist.org/cto/d/denver-2010-toyota-corolla-gas-saver/7591940294.html,
2007 Gmc,7500,,,4wd,gas,250000,,,clean,automatic,,https://denver.craigslist.org/cto/d/loveland-2008-gmc-yukon-xl-looks-great/7591940573.html,
2015 gmc yukon xl,33500,good,8 cylinders,4wd,gas,74100,black,full-size,clean,automatic,SUV,https://denver.craigslist.org/cto/d/littleton-2015-gmc-yukon-denali-xl/7591941770.html,
2009 nissan murano,5800,,,,gas,135000,,,rebuilt,automatic,,https://denver.craigslist.org/cto/d/denver-2009-nissan-murano/7591942779.html,
