make,model,generation,year_begin,year_end
ALFA ROMEO,Giulia (952),1,2016,2023
DODGE,Dakota,1,1987,1990
DODGE,Dakota,1.5,1991,1996
DODGE,Dakota,2,1997,2004
DODGE,Dakota,3,2005,2007
DODGE,Dakota,3.5,2008,2010
DODGE,Grand Caravan,1,1987,1990
DODGE,Grand Caravan,2,1991,1995
DODGE,Grand Caravan,3,1996,2000
DODGE,Grand Caravan,4,2001,2004
DODGE,Grand Caravan,4.5,2005,2007
DODGE,Grand Caravan,5,2008,2010
DODGE,Grand Caravan,5.5,2011,2020
DODGE,Challenger,1,1970,1974
DODGE,Challenger,2,1978,1983
DODGE,Challenger,3,2009,2014
DODGE,Challenger,3.5,2015,2023
TOYOTA,Sequoia,1,2001,2004
TOYOTA,Sequoia,1.5,2005,2007
TOYOTA,Sequoia,2,2008,2017
TOYOTA,Sequoia,2.5,2018,2022
TOYOTA,Sequoia,3,2023,2023
TOYOTA,4-Runner,1,1984,1989
TOYOTA,4-Runner,2,1990,1995
TOYOTA,4-Runner,3,1996,2002
TOYOTA,4-Runner,4,2003,2009
TOYOTA,4-Runner,5,2009,2023
TOYOTA,Tacoma,1,1995,2004
TOYOTA,Tacoma,2,2005,2015
TOYOTA,Tacoma,3,2016,2023
TOYOTA,Tundra,1,2000,2002
TOYOTA,Tundra,1.5,2003,2006
TOYOTA,Tundra,2,2007,2009
TOYOTA,Tundra,2.5,2010,2013
TOYOTA,Tundra,2.75,2014,2018
TOYOTA,Tundra,2.8,2019,2021
TOYOTA,Tundra,3,2022,2023
JEEP,Compass,1,2007,2010
JEEP,Compass,1.5,2011,2017
JEEP,Compass,2,2018,2021
JEEP,Compass,2.5,2022,2023
JEEP,Commander,1,2006,2010
JEEP,Cherokee,1,1974,1983
JEEP,Cherokee,2,1984,1996
JEEP,Cherokee,2.5,1997,2001
JEEP,Cherokee,5,2014,2018
JEEP,Cherokee,5.5,2019,2023
JEEP,Liberty,1,2002,2004
JEEP,Liberty,1.5,2005,2007
JEEP,Liberty,2,2008,2012
JEEP,Grand Cherokee,1,1993,1995
JEEP,Grand Cherokee,1.5,1996,1998
JEEP,Grand Cherokee,2,1999,2004
JEEP,Grand Cherokee,3,2005,2007
JEEP,Grand Cherokee,3.5,2008,2010
JEEP,Grand Cherokee,4,2011,2013
JEEP,Grand Cherokee,4.5,2014,2016
JEEP,Grand Cherokee,4.75,2017,2021
JEEP,Grand Cherokee,5,2022,2023
TOYOTA,Highlander,1,2001,2007
TOYOTA,Highlander,2,2008,2010
TOYOTA,Highlander,2.5,2011,2013
TOYOTA,Highlander,3,2014,2015
TOYOTA,Highlander,3.5,2016,2019
TOYOTA,Highlander,4,2020,2023
HYUNDAI,Accent,1,1997,1999
HYUNDAI,Accent,2,2000,2002
HYUNDAI,Accent,2.5,2003,2005
HYUNDAI,Accent,3,2006,2011
HYUNDAI,Accent,4,2012,2014
HYUNDAI,Accent,4.5,2015,2017
HYUNDAI,Accent,5,2018,2023
HYUNDAI,Santa Fe,1,2001,2004
HYUNDAI,Santa Fe,1.5,2005,2006
HYUNDAI,Santa Fe,2,2007,2009
HYUNDAI,Santa Fe,2.5,2010,2012
HYUNDAI,Santa Fe,3,2013,2016
HYUNDAI,Santa Fe,3.5,2017,2018
HYUNDAI,Santa Fe,4,2019,2020
HYUNDAI,Santa Fe,4.5,2020,2023
HYUNDAI,Sonata,2,1989,1991
HYUNDAI,Sonata,2.5,1992,1994
HYUNDAI,Sonata,3,1995,1998
HYUNDAI,Sonata,4,1999,2001
HYUNDAI,Sonata,4.5,2002,2005
HYUNDAI,Sonata,5,2006,2008
HYUNDAI,Sonata,5.5,2009,2010
HYUNDAI,Sonata,6,2011,2013
HYUNDAI,Sonata,6.5,2014,2014
HYUNDAI,Sonata,7,2015,2017
HYUNDAI,Sonata,7.5,2018,2019
HYUNDAI,Sonata,8,2020,2023
HONDA,Fit,1,2007,2008
HONDA,Fit,2,2009,2011
HONDA,Fit,2.5,2012,2013
HONDA,Fit,3,2015,2017
HONDA,Fit,3.5,2018,2020
HONDA,Civic,2,1981,1981
HONDA,Civic,2.5,1982,1983
HONDA,Civic,3,1984,1985
HONDA,Civic,3,1986,1987
HONDA,Civic,4,1988,1989
HONDA,Civic,4.5,1990,1991
HONDA,Civic,5,1992,1993
HONDA,Civic,5.5,1994,1995
HONDA,Civic,6,1996,1998
HONDA,Civic,6.5,1999,2000
HONDA,Civic,7,2001,2003
HONDA,Civic,7.5,2004,2005
HONDA,Civic,8,2006,2008
HONDA,Civic,8.5,2009,2011
HONDA,Civic,9,2012,2012
HONDA,Civic,9.5,2013,2015
HONDA,Civic,10,2016,2018
HONDA,Civic,10.5,2019,2021
HONDA,Civic,11,2022,2023
HONDA,Accord,1,1978,1981
HONDA,Accord,2,1982,1983
HONDA,Accord,2.5,1984,1985
HONDA,Accord,3,1986,1989
HONDA,Accord,4,1990,1991
HONDA,Accord,4.5,1992,1993
HONDA,Accord,5,1994,1995
HONDA,Accord,5.5,1996,1997
HONDA,Accord,6,1998,1999
HONDA,Accord,6.5,2000,2002
HONDA,Accord,7,2003,2005
HONDA,Accord,7.5,2006,2007
HONDA,Accord,8,2008,2010
HONDA,Accord,8.5,2011,2012
HONDA,Accord,9,2013,2015
HONDA,Accord,9.5,2016,2017
HONDA,Accord,10,2018,2020
HONDA,Accord,10.5,2021,2022
HONDA,Pilot,1,2003,2005
HONDA,Pilot,1.5,2006,2008
HONDA,Pilot,2,2009,2011
HONDA,Pilot,2.5,2012,2015
HONDA,Pilot,3,2016,2018
HONDA,Pilot,3.5,2019,2022
HONDA,Pilot,4,2023,2023
HONDA,Odyssey,1,1995,1998
HONDA,Odyssey,2,1999,2001
HONDA,Odyssey,2.5,2002,2004
HONDA,Odyssey,3,2005,2007
HONDA,Odyssey,3.5,2008,2010
HONDA,Odyssey,4,2011,2013
HONDA,Odyssey,4.5,2014,2017
HONDA,Odyssey,5,2018,2020
HONDA,Odyssey,5.5,2021,2023
HONDA,HR-V,2,2016,2018
HONDA,HR-V,2.5,2019,2022
HONDA,HR-V,3,2023,2023
CHEVROLET,Astro Van,1,1985,1994
CHEVROLET,Astro Van,1.5,1995,1995
CHEVROLET,Astro Van,2,1996,2002
CHEVROLET,Astro Van,3,2003,2005
CHEVROLET,Blazer,1,1983,1994
CHEVROLET,Blazer,2,1995,1997
CHEVROLET,Blazer,2.5,1998,2005
CHEVROLET,Blazer,3,2019,2023
CHEVROLET,Camaro,1,1967,1969
CHEVROLET,Camaro,2,1970,1981
CHEVROLET,Camaro,3,1982,1992
CHEVROLET,Camaro,4,1993,1997
CHEVROLET,Camaro,4.5,1998,2002
CHEVROLET,Camaro,5,2010,2013
CHEVROLET,Camaro,5.5,2014,2015
CHEVROLET,Camaro,6,2016,2018
CHEVROLET,Camaro,6.5,2019,2023
CHEVROLET,Colorado,1,2004,2012
CHEVROLET,Colorado,2,2015,2022
CHEVROLET,Colorado,3,2023,2023
CHEVROLET,Cruze,1,2011,2014
CHEVROLET,Cruze,1.5,2015,2015
CHEVROLET,Cruze,2,2016,2018
CHEVROLET,Cruze,2.5,2019,2019
CHEVROLET,Sonic,2,2012,2016
CHEVROLET,Sonic,2.5,2017,2020
CHEVROLET,Equinox,1,2005,2009
CHEVROLET,Equinox,2,2010,2015
CHEVROLET,Equinox,2.5,2016,2017
CHEVROLET,Equinox,3,2018,2021
CHEVROLET,Equinox,3.5,2022,2023
CHEVROLET,Express,1,1997,2002
CHEVROLET,Express,1.5,2003,2023
CHEVROLET,Volt,1,2011,2015
CHEVROLET,Volt,2,2016,2019
CHEVROLET,Traverse,1,2009,2012
CHEVROLET,Traverse,1.5,2013,2017
CHEVROLET,Traverse,2,2018,2021
CHEVROLET,Traverse,2.5,2022,2023
CHEVROLET,Tahoe,1,1992,1999
CHEVROLET,Tahoe,2,2000,2006
CHEVROLET,Tahoe,3,2007,2014
CHEVROLET,Tahoe,4,2015,2020
CHEVROLET,Tahoe,5,2021,2023
GMC,Suburban,1,1935,1940
GMC,Suburban,2,1941,1946
GMC,Suburban,3,1947,1954
GMC,Suburban,4,1955,1959
GMC,Suburban,5,1960,1966
GMC,Suburban,6,1967,1972
GMC,Suburban,7,1973,1991
GMC,Suburban,8,1992,1999
GMC,Suburban,9,2000,2006
GMC,Suburban,10,2007,2014
GMC,Suburban,11,2015,2020
GMC,Suburban,12,2021,2023
FORD,Focus,1,2000,2004
FORD,Focus,1.5,2005,2007
FORD,Focus,2,2009,2011
FORD,Focus,3,2012,2014
FORD,Focus,3.5,2015,2018
FORD,Fiesta,6,2011,2013
FORD,Fiesta,6.5,2014,2019
FORD,Fusion,1,2006,2009
FORD,Fusion,1.5,2010,2012
FORD,Fusion,2,2013,2016
FORD,Fusion,2.5,2019,2020
FORD,Escape,1,2001,2004
FORD,Escape,1.5,2005,2007
FORD,Escape,2,2008,2012
FORD,Escape,3,2013,2016
FORD,Escape,3.5,2017,2019
FORD,Escape,4,2020,2022
FORD,Escape,4.5,2023,2023
FORD,Explorer,1,1991,1994
FORD,Explorer,2,1995,2001
FORD,Explorer,3,2002,2005
FORD,Explorer,4,2006,2010
FORD,Explorer,5,2011,2015
