,year_make_model,price,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,url,VIN,make,model,year,generation
235,2019 2019 Subaru Ascent awd,27499.0,excellent,4 cylinders,4wd,gas,71830,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2019-subaru-ascentlow-mileshtd/7590700097.html,4S4WMARD9K3457462,SUBARU,Ascent,2019,1.0
360,2016 subaru wrx base awd,20999.0,excellent,4 cylinders,4wd,gas,93963,,,clean,manual,sedan,https://denver.craigslist.org/ctd/d/denver-2016-subaru-wrxnew-subaru-stock/7590676938.html,JF1VA1B64G9817140,SUBARU,WRX,2016,1.0
383,2004 Infiniti FX35 BASE,6399.0,excellent,6 cylinders,4wd,gas,203149,,,,automatic,SUV,https://denver.craigslist.org/ctd/d/golden-2004-infiniti-fx35-fx-35-fx-35/7590269964.html,JNRAS08W64X225639,INFINITI,FX35,2004,1.0
265,2017 INFINITI Q50,20988.0,,4 cylinders,4wd,gas,91626,,,clean,other,sedan,https://denver.craigslist.org/ctd/d/denver-2017-infiniti-q50-20t/7590642116.html,JN1CV7AR2HM681645,INFINITI,Q50,2017,1.0
184,2008 GMC Acadia SLE-1,6988.0,excellent,6 cylinders,,gas,136827,,,,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2008-gmc-acadia-sle-buy-here-pay/7590889639.html,1GKER13758J253173,GMC,Acadia,2008,1.0
396,2006 FORD FUSION,6995.0,,,,other,164046,white,,clean,,sedan,https://denver.craigslist.org/ctd/d/denver-2006-ford-fusion/7590275526.html,3FAFP06Z96R188379,FORD,Fusion,2006,1.0
111,2006 chrysler 300 limited,6995.0,excellent,6 cylinders,4wd,gas,116223,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/englewood-2006-chrysler-300-limited-awd/7590859162.html,2C3LK53GX6H168136,CHRYSLER,300,2006,1.0
443,2008 CHEVROLET UPLANDER,8999.0,,,fwd,other,40880,white,,clean,automatic,van,https://denver.craigslist.org/ctd/d/denver-2008-chevrolet-chevy-uplander/7590294322.html,1GBDV13W68D108463,CHEVROLET,Uplander,2008,1.0
14,2018 Chrysler Pacifica Touring L Pow,53900.0,,6 cylinders,fwd,gas,40657,,,clean,automatic,van,https://denver.craigslist.org/ctd/d/phoenix-2018-chrysler-pacifica-touring/7590910468.html,2C4RC1BG3JR216978,CHRYSLER,Pacifica,2018,1.0
214,1990 Nissan 240SX SE,19999.0,,4 cylinders,rwd,gas,139685,,,clean,manual,coupe,https://denver.craigslist.org/ctd/d/longmont-1990-nissan-240sx-se-coupe/7590836842.html,JN1HS36P4LW124733,NISSAN,240SX,1990,1.0
303,2014 Chevrolet Cruze 1LT Auto,7995.0,,4 cylinders,fwd,gas,105820,white,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2014chevroletcruze1ltback-up/7590646848.html,1G1PC5SB0E7343013,CHEVROLET,Cruze,2014,1.0
313,2005 volkswagen touareg v8,5995.0,good,8 cylinders,4wd,gas,148223,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2005-volkswagen-touareg-v8/7590647398.html,WVGMM77L55D002546,VOLKSWAGEN,Touareg,2005,1.0
264,2012 Audi S5,15988.0,,8 cylinders,4wd,gas,119978,,,clean,other,coupe,https://denver.craigslist.org/ctd/d/denver-2012-audi-s5/7590641941.html,WAUVVAFR2CA005411,AUDI,S5,2012,1.0
213,2009 Ford Edge Limited,10988.0,excellent,6 cylinders,4wd,gas,119000,,,,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2009-ford-edge-limited-buy-here/7590836603.html,2FMDK49CX9BB01456,FORD,Edge,2009,1.0
159,2006 lexus gx 470,10900.0,fair,8 cylinders,4wd,gas,158350,white,full-size,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2006-lexus-gx-470-awd/7590869378.html,JTJBT20X060097831,LEXUS,GX,2006,1.0
83,2019 Chrysler Pacifica Touring L Wheelchair Van,47995.0,,6 cylinders,fwd,gas,29904,black,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2019-chrysler-pacifica/7590854680.html,2C4RC1BG4KR626304,CHRYSLER,Pacifica,2019,1.0
339,2018 Land Rover Range Rover Velar P380 R-Dynamic SE,46900.0,,6 cylinders,4wd,gas,26593,grey,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/gladstone-2018-land-rover-range-rover/7590664156.html,SALYL2RV4JA760196,LAND ROVER,Range Rover Velar,2018,1.0
145,2010 Volkswagen Routan SE Mobility Van,18995.0,,6 cylinders,fwd,gas,88915,grey,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2010-volkswagen-routan-se/7590864101.html,2V4RW3D13AR202368,VOLKSWAGEN,Routan,2010,1.0
120,2015 Land Rover Discovery Sport,18988.0,,4 cylinders,4wd,gas,96263,red,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2015-land-rover-discovery-sport/7590861402.html,SALCR2BG5FH502191,LAND ROVER,Discovery Sport,2015,1.0
179,2012 CHEVROLET TRAVERSE,10494.0,,,,gas,153204,,,clean,automatic,other,https://denver.craigslist.org/ctd/d/pueblo-2012-chevrolet-chevy-traverse-lt/7590887921.html,1GNKVJED9CJ240164,CHEVROLET,Traverse,2012,1.0
448,2003 BMW X5,9999.0,,,,gas,97855,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2003-bmw-x5-44i-awd-4dr-suv/7590294548.html,5UXFB33533LH47822,BMW,X5,2003,1.0
275,2004 ford f-350,9995.0,excellent,8 cylinders,4wd,diesel,182223,,,clean,automatic,pickup,https://denver.craigslist.org/ctd/d/englewood-2004-ford-350-xlt-4x4-182k/7590643761.html,1FTSW31P94EC96018,FORD,F-350,2004,1.0
115,2011 audi q5 3.2 quattro premium,9995.0,excellent,6 cylinders,4wd,gas,143223,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2011-audi-q5-32-quattro-awd/7590859715.html,WA1DKAFP9BA043944,AUDI,Q5,2011,1.0
288,2008 VOLKSWAGEN EOS,7995.0,,,,other,143181,,,clean,automatic,convertible,https://denver.craigslist.org/ctd/d/denver-2008-volkswagen-eos-komfort/7590645972.html,WVWBA71F38V042260,VOLKSWAGEN,Eos,2008,1.0
417,2003 FORD FOCUS,5995.0,,,,other,151268,silver,compact,clean,manual,sedan,https://denver.craigslist.org/ctd/d/denver-2003-ford-focus-lx/7590288553.html,1FAFP33P53W336637,FORD,Focus,2003,1.0
440,2006 BMW X3,8999.0,,,,gas,100460,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2006-bmw-x3-30i-awd-4dr-suv/7590294162.html,WBXPA93486WD26025,BMW,X3,2006,1.0
171,2018 Alfa Romeo Giulia,24988.0,,4 cylinders,rwd,gas,58634,blue,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2018-alfa-romeo-giulia/7590886739.html,ZARFAEBN7J7567902,ALFA ROMEO,Giulia (952),2018,1.0
88,2018 Chrysler Pacifica LX Wheelchair Van,37995.0,,6 cylinders,fwd,gas,68577,grey,,clean,automatic,mini-van,https://denver.craigslist.org/ctd/d/laguna-woods-2018-chrysler-pacifica-lx/7590854824.html,2C4RC1CG2JR113212,CHRYSLER,Pacifica,2018,1.0
311,2000 toyota tundra 4wd truck,4995.0,good,8 cylinders,4wd,gas,361143,,,clean,automatic,pickup,https://denver.craigslist.org/ctd/d/englewood-2000-toyota-tundra-v8-4x4-ext/7590647278.html,5TBBT4418YS005362,TOYOTA,Tundra,2000,1.0
413,2017 Mercedes-Benz GLC,23988.0,,4 cylinders,4wd,gas,134885,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2017-mercedes-benz-glc-300/7590285993.html,WDC0G4KB5HF225034,MERCEDES-BENZ,GLC-Class,2017,1.0
299,2006 Jeep Commander 4dr SUV,5995.0,,6 cylinders,4wd,gas,176426,red,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2006jeepcommander-3rd-row/7590646709.html,1J8HG48K56C354799,JEEP,Commander,2006,1.0
245,2013 subaru xv crosstrek 2.0i limited,14299.0,excellent,4 cylinders,4wd,gas,94553,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2013-subaru-xv-crosstrek-20i/7590700316.html,JF2GPACC3D2896490,SUBARU,XV CrossTrek,2013,1.0
168,2001 toyota tundra,4500.0,,4 cylinders,rwd,gas,296895,,,clean,automatic,pickup,https://denver.craigslist.org/cto/d/arvada-2001-toyota-tundra/7590882097.html,5TBRT34181S200862,TOYOTA,Tundra,2001,1.0
441,2011 BMW X6,22999.0,,,,gas,65900,blue,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2011-bmw-x6-base-awd-4dr-suv/7590294210.html,5YMGZ0C58BLK14125,BMW,X6,2011,1.0
152,2013 subaru xv crosstrek 2.0i limited,14299.0,excellent,4 cylinders,4wd,gas,94553,,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2013-subaru-xv-crosstrek-just/7590864479.html,JF2GPACC3D2896490,SUBARU,XV CrossTrek,2013,1.0
206,2000 ford focus zx3,4950.0,good,4 cylinders,fwd,gas,67238,,,clean,automatic,,https://denver.craigslist.org/cto/d/denver-2000-ford-zx3-67k-miles-new/7590834353.html,3FAFP3135YR257110,FORD,Focus,2000,1.0
273,2014 buick verano,4995.0,good,4 cylinders,fwd,gas,116223,,,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/englewood-2014-buick-verano-116k-miles/7590643483.html,1G4PP5SK6E4130642,BUICK,Verano,2014,1.0
12,2019 Subaru WRX,28988.0,,4 cylinders,4wd,gas,60612,,,clean,manual,sedan,https://denver.craigslist.org/ctd/d/denver-2019-subaru-wrx-premiumawd/7590910307.html,JF1VA1C64K9815864,SUBARU,WRX,2019,1.5
39,2015 chevy traverse ltz,15988.0,excellent,6 cylinders,,gas,131485,grey,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2015-chevrolet-traverse-ltz/7590928389.html,1GNKRJKD4FJ358135,CHEVROLET,Traverse,2015,1.5
320,2008 infiniti fx35,7995.0,excellent,6 cylinders,4wd,gas,136223,,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/englewood-2008-infiniti-fx35-awd-136k/7590652929.html,JNRAS08W18X205322,INFINITI,FX35,2008,1.5
430,2011 LAND ROVER LR2,10999.0,,,,gas,120050,blue,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2011-land-rover-lr2-base-awd-4dr/7590293728.html,SALFR2BNXBH264733,LAND ROVER,LR2,2011,1.5
424,2002 NISSAN XTERRA,7999.0,,,4wd,gas,136225,white,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2002-nissan-xterra-xe-v6-4wd-4dr/7590293471.html,5N1ED28Y92C520744,NISSAN,Xterra,2002,1.5
436,2009 VOLVO S60,7999.0,,,fwd,gas,103115,black,compact,clean,automatic,sedan,https://denver.craigslist.org/ctd/d/denver-2009-volvo-s60-25t-4dr-sedan/7590293984.html,YV1RS592892727739,VOLVO,S60,2009,1.5
349,2015 Mini Cooper Countryman,16988.0,,4 cylinders,4wd,gas,99878,,,clean,other,sedan,https://denver.craigslist.org/ctd/d/denver-2015-mini-cooper-countryman/7590670365.html,WMWZC5C51FWP45541,MINI,Countryman,2015,1.5
294,2012 Land Rover Range Rover Sport HSE Limited Edition,13995.0,,8 cylinders,4wd,gas,85293,black,,clean,automatic,SUV,https://denver.craigslist.org/ctd/d/denver-2012range-rover-sporthseland/7590646548.html,SALSF2D42CA757912,LAND ROVER,Range Rover Sport,2012,1.5
401,2020 GMC SAVANA G2500,89500.0,,,,gas,18655,,,clean,automatic,,https://denver.craigslist.org/ctd/d/irving-2020-gmc-savana-explorer/7590277915.html,1GTW7AFG5L1140916,GMC,Savana,2020,1.5
291,2015 Nissan JUKE SV,9995.0,,4 cylinders,fwd,gas,120074,white,,clean,automatic,wagon,https://denver.craigslist.org/ctd/d/denver-2015nissanjukesv/7590646448.html,JN8AF5MR1FT511298,NISSAN,Juke,2015,1.5
